,,,,,,,,50%,60%,70%,80%,90%,100%
45055491,LoicTheAztec,Max,"There is something I have discovered only now. I thought it works with single products. It does only when the single product is out of stock. For a single product which is in stock and has the short delivery time it only shows the long shipping time. 

I tried to add this to the beginning, but it didn't help. 
`$simple_id = $cart_item['simple_id'];
 $simple_obj = new WC_Product_simple($simple_id);
 $stock_simple = $simple_obj->get_stock_quantity();`

And then I added fellowing.

`if( $variation_obj->get_stock_quantity() <= 0 xor $simple_obj->get_stock_quantity() <= 0){`","['$variation_obj->get_stock_quantity()', 'WC_Product_simple', 'WC_Product_simple($simple_id)', 'if( $variation_obj->get_stock_quantity() <= 0 xor $simple_obj->get_stock_quantity() <= 0)', ""$cart_item['simple_id'];"", '$simple_obj', '$simple_obj->get_stock_quantity()', '$simple_id', '$simple_obj->get_stock_quantity();', 'WC_P', 'simple_id =', 'get_stock_quantity()', ""'simple_id'"", 'stock_simple =', '<= 0)', '<= 0 xor', 'simple_obj = new WC_Product_simple', 'if( $variation_obj->get_stock_quantity() <= 0 xor $simple_obj->get_stock_quantity() <= 0){', '$simple_id);', '$stock_simple']",8,1,8,"[(8, ['get_stock_quantity()', '<= 0 xor', 'if( $variation_obj->get_stock_quantity() <= 0 xor $simple_obj->get_stock_quantity() <= 0)', '$simple_obj->get_stock_quantity();', '$simple_obj->get_stock_quantity()', 'simple_obj = new WC_Product_simple', 'if( $variation_obj->get_stock_quantity() <= 0 xor $simple_obj->get_stock_quantity() <= 0){', ""$cart_item['simple_id'];"", '$variation_obj->get_stock_quantity()', 'WC_P', ""'simple_id'"", 'simple_id =', '<= 0)', 'WC_Product_simple($simple_id)', 'stock_simple =', '$simple_id);', '$simple_obj', '$stock_simple', 'WC_Product_simple'])]","[(8, ['$variation_obj->get_stock_quantity()', 'WC_Product_simple', 'WC_Product_simple($simple_id)', 'if( $variation_obj->get_stock_quantity() <= 0 xor $simple_obj->get_stock_quantity() <= 0)', ""$cart_item['simple_id'];"", '$simple_obj->get_stock_quantity()', '$simple_obj->get_stock_quantity();', 'WC_P', 'get_stock_quantity()', 'stock_simple =', '<= 0)', 'simple_obj = new WC_Product_simple', 'if( $variation_obj->get_stock_quantity() <= 0 xor $simple_obj->get_stock_quantity() <= 0){', '$stock_simple'])]","[(8, ['simple_obj = new WC_Product_simple', 'WC_P', 'get_stock_quantity()', ""$cart_item['simple_id'];"", 'WC_Product_simple', '<= 0)', '$simple_obj->get_stock_quantity();', '$simple_obj->get_stock_quantity()', '$variation_obj->get_stock_quantity()'])]","[(8, ['$simple_obj->get_stock_quantity()', 'get_stock_quantity()', '$simple_obj->get_stock_quantity();', '$variation_obj->get_stock_quantity()', 'WC_P'])]","[(8, ['get_stock_quantity()', '$variation_obj->get_stock_quantity()', 'WC_P'])]","[(8, ['get_stock_quantity()', 'WC_P', '$variation_obj->get_stock_quantity()'])]"
45055491,LoicTheAztec,Max,"Its working perfectly now! I've made a little change, so that products with less than 0 stock quantity are in the condition too. 
I changed 
`if( 0 == $stock )` to `if( $stock <= 0 )`","['if( 0 == $stock )', '0 ==', 'if( 0 == $stock )` to `if( $stock <= 0 )', '$stock', 'stock <= 0 )', 'if( $stock <= 0 )']",10,1,10,"[(10, ['if( $stock <= 0 )', 'if( 0 == $stock )` to `if( $stock <= 0 )', '0 ==', 'stock <= 0 )', '$stock', 'if( 0 == $stock )'])]","[(10, ['if( 0 == $stock )', '0 ==', 'stock <= 0 )', 'if( $stock <= 0 )'])]","[(10, ['0 ==', 'stock <= 0 )', 'if( 0 == $stock )', 'if( $stock <= 0 )'])]","[(10, ['if( 0 == $stock )', 'if( $stock <= 0 )', '0 ==', 'stock <= 0 )'])]","[(10, ['0 ==', 'if( $stock <= 0 )', 'stock <= 0 )', 'if( 0 == $stock )'])]","[(10, ['0 ==', 'if( 0 == $stock )'])]"
45294926,Muthukrishnan Rajendran,AAA,okay but prb is not with these,,2,0,,,,,,,
45294926,Muthukrishnan Rajendran,AAA,image slider and status text are prb with,,2,0,,,,,,,
45294926,Muthukrishnan Rajendran,Muthukrishnan Rajendran,"I added statusTv also, have a look",['statusTv'],,,,,,,,,
45294926,Muthukrishnan Rajendran,AAA,"still same prb.,.,.,.,",,3,0,,,,,,,
45294926,Muthukrishnan Rajendran,Muthukrishnan Rajendran,"I added your complete bindView, You have the adapter as a global variable, you should use local and some view you did update every time, I did that have a look.",['bindView'],,,,,,,,,
45294926,Muthukrishnan Rajendran,AAA,okay please wait,,,,,,,,,,
45294926,Muthukrishnan Rajendran,AAA,"not working, same result :(",,,,,,,,,,
45294926,Muthukrishnan Rajendran,AAA,if adapter would have problem then how it showing correct for first method,,,,,,,,,,
45294926,Muthukrishnan Rajendran,Muthukrishnan Rajendran,You should understand if 1st time working after scrolling and after scrolling or updating if its showing old item is definitely an object reuse issue. thats what I am trying to explain you.,,,,,,,,,,
45294926,Muthukrishnan Rajendran,AAA,"i really couldnot get the prb. its just showing wrong when i use newsFeedClassArrayList.add(0,newsFeedClass_updated); 
but if i added the usual way without postion then also its working fine","['newsFeedClassArrayList.add(0,newsFeedClass_updated)', 'newsFeedClass_updated', 'add(0,newsFeedClass_updated)', 'newsFeedClassArrayList']",,,,,,,,,
46913880,Aidan Host,lscodex,"thank you for spending your time.First of all, my Model classes are so much. OpenWeatherMapDays and OpenWeatherMapDaysTo are Model class that includes get and set methods.So, actually ""get(j)"" brings List() class objects for as a count.However, I get JSON object from website and json object directly assigned to them automatically with gson. you can see that ""openWeatherMapDays = gson.fromJson(response, mType);"". two ""For loops"" are assigning that to the ArrayList when getting to json object from different url.And yes, getmOpenWeatherMapListto is ArrayList,also mOpenWeatherMapList too.","['ArrayList', 'fromJson', 'time.F', 'count.H', '""get(j)"" brings List() class objects for as a count.However, I get JSON object from website and json object directly assigned to them automatically with gson. you can see that ""openWeatherMapDays = gson.fromJson(response, mType)', 'get(j)"" brings List() class objects for as a count.However, I get JSON object from website and json object directly assigned to them automatically with gson. you can see that ""openWeatherMapDays = gson.fromJson(response, mType)', 'openWeatherMapDays = gson', 'methods.S', 'mType', 'url.A', 'OpenWeatherMapDays', 'openWeatherMap', 'getmOpenWeatherMapListto', 'mOpenWeatherMapList']",2,1,2,"[(2, ['mOpenWeatherMapList', 'openWeatherMap', 'getmOpenWeatherMapListto', 'openWeatherMapDays = gson', 'OpenWeatherMapDays', 'ArrayList'])]","[(2, ['ArrayList', 'openWeatherMapDays = gson', 'OpenWeatherMapDays', 'openWeatherMap', 'getmOpenWeatherMapListto', 'mOpenWeatherMapList'])]","[(2, ['mOpenWeatherMapList', 'openWeatherMapDays = gson', 'ArrayList', 'openWeatherMap', 'OpenWeatherMapDays'])]","[(2, ['openWeatherMap', 'ArrayList', 'openWeatherMapDays = gson', 'OpenWeatherMapDays'])]","[(2, ['ArrayList'])]","[(2, ['ArrayList'])]"
46913880,Aidan Host,Aidan Host,@lscodex if you look at your code you are calling `openWeatherMapDaysTo.getList().get(j).getDt_txt()` there `get(j)` is returning an object that has a method `getDt_txt()`. It doesn't look to me like `get(j)` is returning a `List()`,"['openWeatherMapDaysTo', 'openWeatherMapDaysTo.getList().get(j).getDt_txt()', 'getDt_txt()', ""openWeatherMapDaysTo.getList().get(j).getDt_txt()` there `get(j)` is returning an object that has a method `getDt_txt()`. It doesn't look to me like `get(j)` is returning a `List()"", 'List()', ""getList().get(j).getDt_txt()` there `get(j)` is returning an object that has a method `getDt_txt()`. It doesn't look to me like `get(j)` is returning a `List()"", 'getList', 'get(j)', 'getDt_txt']",,,,,,,,,
46913880,Aidan Host,lscodex,"I edited my question. and if it doesn't return getDt_txt(), I don't get the dates from json objects.","['getDt_txt()', 'getDt_txt']",2,1,2,"[(2, ['getDt_txt', 'getDt_txt()'])]","[(2, ['getDt_txt()', 'getDt_txt'])]","[(2, ['getDt_txt', 'getDt_txt()'])]","[(2, ['getDt_txt', 'getDt_txt()'])]","[(2, ['getDt_txt', 'getDt_txt()'])]","[(2, ['getDt_txt()', 'getDt_txt'])]"
46913880,Aidan Host,Aidan Host,@lscodex please add `Lists2` to your question as well.,['Lists2'],,,,,,,,,
46913880,Aidan Host,Aidan Host,@lscodex what does your `ForecastAdapters` class look like?,['ForecastAdapters'],,,,,,,,,
46913880,Aidan Host,lscodex,it is a normal recycler adapter class. it gets the list object.That's all.,['object.T'],2,0,,"[(2, ['object.T'])]",,,,,
47482066,ArtisticPhoenix,Matthew Gabriel,I shared the fiddle with you mate. I have implemented your code to the letter and still getting no results as per the image I posted. I will try removing the service_type and see what happens.,['service_type'],4,1,4,"[(3, ['service_type'])]","[(3, ['service_type'])]","[(3, ['service_type'])]","[(3, ['service_type'])]","[(3, ['service_type'])]","[(14, ['service_type'])]"
47482066,ArtisticPhoenix,ArtisticPhoenix,"You mean you shared one that doesn't run, but I guess I can fix that first. because your missing the `;` after each bit of SQL, mate.",[';'],,,,,,,,,
47482066,ArtisticPhoenix,Matthew Gabriel,"Hi @ArtisticPhoenix! I have been using your solution for some time now and it works wonderfully I have to thank you for that, I have hit a snag though now trying to add a total row to the table. Using the `foreach ($headers as $header`) I can get the total output for the last row, but not for the entire column, how can I get the loop to sum the whole column, I have tried += $value etc to no avail as it comes through as string. Appreciate any assistance.","['$value', '$header', '$headers', 'tried +=', 'foreach ($headers as $header', 'I have tried +=']",,,,,,,,,
47482066,ArtisticPhoenix,ArtisticPhoenix,"I would need more info like the name of the field your trying to sum, but I would suggest posting it as a separate question. I would also say to include the array you are trying to get the sum of, or an example array.",,,,,,,,,,
47482066,ArtisticPhoenix,Matthew Gabriel,No worries @ArtisticPhoenix I will make a new question now.,,,,,,,,,,
47482066,ArtisticPhoenix,Matthew Gabriel,New Question is here: https://stackoverflow.com/questions/49977936/totalling-columns-on-generated-output-php-mysql,,,,,,,,,,
48484562,Florian,RustyShackleford,"Hi @Florian thank you for the response, I need to filter field 'payment_complete' on '1.0' rather than '1' and the dtype is float. Can I simply change '1' to '1.0'? 

Instead of filter on the existing 'df_order', how do I create a new df with ONLY 'first_name', 'last_name',and 'email_addr' where the conditions are met? I need to be able to export only those three field in a csv.","[""'df_order'"", ""'payment_complete'"", ""'email_addr'"", ""'last_name'"", ""'first_name'"", ""'1'"", ""' rather than '""]",2,1,2,"[(2, [""'last_name'"", ""'df_order'"", ""'first_name'"", ""'payment_complete'"", ""'email_addr'""])]","[(2, [""'df_order'"", ""'payment_complete'"", ""'email_addr'"", ""'last_name'"", ""'first_name'""])]","[(2, [""'email_addr'"", ""'payment_complete'"", ""'first_name'"", ""'last_name'""])]","[(2, [""'payment_complete'"", ""'last_name'"", ""'first_name'"", ""'email_addr'""])]","[(2, [""'first_name'"", ""'email_addr'""])]",
48484562,Florian,Florian,"Hi @RustyShackleford. You can check if floats are equal with `np.isclose()`. Also, to obtain only the `dataframe` with the customer information I have created a dataframe called `df_birthday2`, which contains the data you need (you can drop the id column of course with `df_birthday2.drop('id',1)`). Hope this helps!","[""np.isclose()`. Also, to obtain only the `dataframe` with the customer information I have created a dataframe called `df_birthday2`, which contains the data you need (you can drop the id column of course with `df_birthday2.drop('id',1)`)"", ""isclose()`. Also, to obtain only the `dataframe` with the customer information I have created a dataframe called `df_birthday2`, which contains the data you need (you can drop the id column of course with `df_birthday2.drop('id',1)`)"", 'np.isclose()', 'dataframe', 'df_birthday2', ""'id'"", ""df_birthday2.drop('id',1)""]",,,,,,,,,
48484562,Florian,RustyShackleford,"that works last question, the 'updated_at' field is datetime stamp, and all dates are in the past. I need to compare the day for the next day not with today. I.E timestamp 2017-12-02 20:17:38 need to only show row if today date is less than 2017-12-03 20:17:38. I changed 'timedelta64[D]')<1 but it does not seem to be working. Still getting two rows in 'df_birthday2'","[""'df_birthday2'"", 'I.E', ""'updated_at'""]",3,1,3,"[(3, [""'updated_at'"", ""'df_birthday2'""])]",,,,,
48484562,Florian,Florian,@RustyShackleford I modified the example slightly. `(dt.datetime.now()- df_temp['updated_at']).astype('timedelta64[m]')` now returns the difference between the timestamp and the current time in minutes. So as long as that is less than `24*60` the record is good to go,"[""(dt.datetime.now()- df_temp['updated_at']).astype('timedelta64[m]')` now returns the difference between the timestamp and the current time in minutes. So as long as that is less than `24*60` the record is good to go ;)"", ""now()- df_temp['updated_at']).astype('timedelta64[m]')` now returns the difference between the timestamp and the current time in minutes. So as long as that is less than `24*60` the record is good to go ;)"", '24*60', ""'updated_at'"", 'df_temp', ""(dt.datetime.now()- df_temp['updated_at']).astype('timedelta64[m]')""]",,,,,,,,,
48484562,Florian,RustyShackleford,works beautifully thank you so much.,,,,,,,,,,
48703608,Auris,Mr Ken,"`json_decode($json, true);` , please.","['json_decode($json, true);', 'json_decode($json, true)', '$json,']",2,1,2,"[(2, ['json_decode($json, true)', '$json,', 'json_decode($json, true);'])]","[(2, ['json_decode($json, true);', 'json_decode($json, true)', '$json,'])]","[(2, ['json_decode($json, true)', '$json,', 'json_decode($json, true);'])]","[(2, ['$json,', 'json_decode($json, true);', 'json_decode($json, true)'])]","[(2, ['json_decode($json, true)', 'json_decode($json, true);', '$json,'])]","[(2, ['$json,', 'json_decode($json, true)'])]"
48703608,Auris,Auris,"yes, you are right, copy/pasted without looking",,,,,,,,,,
48703608,Auris,Ely Fornoville,Thank you. But it seems not to work. Here is an example of the JSON file: https://pastebin.com/GHMJKWEw,,3,0,,,,,,,
48703608,Auris,Mr Ken,@ElyFornoville do you cannot remove `SPEC_Info`? Can you create file?,['SPEC_Info'],,,,"[(3, ['SPEC_Info'])]","[(4, ['SPEC_Info'])]","[(4, ['SPEC_Info'])]","[(4, ['SPEC_Info'])]","[(4, ['SPEC_Info'])]","[(4, ['SPEC_Info'])]"
48703608,Auris,Auris,"@ElyFornoville since your json contains multiple inner objects, you need to loop them and then remove the node you don't want.",,,,,,,,,,
48703608,Auris,Ely Fornoville,@Auris thank you for the solutions. I tested it and it's not working + combining the JSON files also is not working anymore. I will try to get this working with your insights. I posted my full code in my question above.,,4,0,,,,,,,
48703608,Auris,Auris,what version of PHP are you using?,,,,,,,,,,
48703608,Auris,Ely Fornoville,I am using PHP version 7.0,,4,0,,,,,,,
48703608,Auris,Auris,"Ok, now I figured out what i was doing wrong, foreach values do not act as references of main array, so un-setting in a value does not unset in main array. I have updated my code. As for combining, please feel free to use what you used before",,,,,,,,,,
48703608,Auris,Ely Fornoville,Awesome that worked! Thank you very much. I combined my code with yours and SPEC_Info is gone and also my combining works.,"['SPEC_I', 'SPEC_Info']",,,,,,,,,
48703608,Auris,Auris,Happy I could help,,,,,,,,,,
48703608,Auris,Ely Fornoville,@Auris I am trying to unset 2 or more items. I added thme next to eachother as ['SPEC_Bullet point 1 LIST']['SPEC_Bullet point 1 TEXT'] but that does not seem to work.,"[""'SPEC_Bullet point 1 LIST'"", 'SPEC_Bullet', ""'SPEC_Bullet point 1 TEXT'""]",,,,,,,,,
48703608,Auris,Auris,"You will need to add the whole `if(isset($`... blocks for those 2 items, just like for `SPEC_Info`","['if(isset($', 'SPEC_Info']",,,,,,,,,
48703608,Auris,Ely Fornoville,@Auris found it. Again thank you for your solutions.,,,,,,,,,,
49516025,Nick Bull,Chris H,The obvious gap between ASCII alphanumeric characters and emoji is accentated and non-latin letters. Without the OP's input on these we don't know whether this is a good answer (not my DV though),"[""'s input on these we don'""]",,,,,,,,,
49516025,Nick Bull,Chris,"Yeah I'm curious as to why this would possibly get downvoted. The second I saw this question, a regular expression was the absolute first thing that came to mind (P.S. since he's looking for standard characters and punctuation, I'd use something like `[^\w\^\-\[\]\.!@#$%&*\(\)/+'"":;~?,]` but that's just me being robust and trying collect all typical characters that aren't symbols). Upvoted because this is definitely a potential solution. If he wants to add some other language characters, he can add them to the expression as necessary.","['[^\\w\\^\\-\\[\\]\\.!@#$%&*\\(\\)/+\'"":;~?,]', '$%&*', ""'s just me being robust and trying collect all typical characters that aren'"", 'P.S']",,,,,,,,,
49516025,Nick Bull,Nick Bull,"@Chris great punctuation regex example, looks extensive enough to me for some cases. Also maybe people aren't reading the whole answer then - **as stated at the bottom of the answer, `p{L}` handles non-English alphabetical characters**. I hope it's understood that I can't list extensively through every non-English alphabet in my answer as that would be impractically verbose.","['p{L}', ""'s understood that I can'""]",,,,,,,,,
49516025,Nick Bull,VGR,"To keep all letters, numbers, punctuation, and spaces, you probably want something like `""[^\\p{L}\\p{M}\\p{N}\\p{P}\\p{Z}]""`. Or, the converse, `""[\\p{S}\\p{C}]""`.","['""[\\\\p{S}\\\\p{C}]""', '""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}]""']",8,1,8,"[(3, ['""[\\\\p{S}\\\\p{C}]""'])]","[(8, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}]""'])]","[(8, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}]""'])]",,,
49516025,Nick Bull,Oleg,"What about punctuation? Also a small typo, missing ""]"" in the regex.",,5,0,,,,,,,
49516025,Nick Bull,jpmc26,This. Please and thank you. Don't try to *forbid* characters that cause you problems,,,,,,,,,,
49516025,Nick Bull,Chris,"@Acccumulation Good catch, I was at work typing that up really quick and forgot to add `\s` after `\w`. You can can capture newlines as well by adding `\r\n`.","['\\w', '\\r\\n', '\\s']",,,,,,,,,
49516025,Nick Bull,Nick Bull,"@Chris the character class `\p{Punct}` can also be used for punctuation. Sorry guys, answering the question from my phone so I'm potentially a little less vigilant than earlier with edits",['\\p{Punct}'],,,,,,,,,
49516025,Nick Bull,Chris,@NickBull Is this java based alongside the p{L} class you mentioned before? I haven’t worked with Java too much (.NET and C++ Developer mainly and I’m _almost_ positive I haven’t seen those yet but that may just be me overlooking them).,,,,,,,,,,
49516025,Nick Bull,Nick Bull,"@Chris it is, I think C# has \p{P} for a punctuation match. I know for POSIX there's the equivalent [:punct:] as well for shell scripts",,,,,,,,,,
49516025,Nick Bull,hjpotter92,The `^` inside character set negates the whole set in any regex flavour. I think you meant _The `^` in **character-set** negates the match._ (instead of Java),"['_The', '^']",8,0,,,,,,,
49516025,Nick Bull,John,"This turns `皆さん、こんにちは！ 私はジョンと申します。` into `皆さんこんにちは私はジョンと申します`. @VGR's works correctly for Japanese, but I don't know if it works correctly for removing emoticons.","['皆さん、こんにちは！\u3000私はジョンと申します。', '皆さんこんにちは私はジョンと申します']",,,,,,,,,
49516025,Nick Bull,VGR,"Actually, as zwol points out in a comment on another answer, `\\p{Cf}` should also be preserved, as format characters are part of valid text.",['\\\\p{Cf}'],10,1,10,,,,,,
49516025,Nick Bull,Nick Bull,@VGR I've updated with a better set of Regex character categories that work for that example. Please feel free to edit w improvements,,,,,,,,,,
49516025,Nick Bull,ANeves,Online test for this regex: https://regex101.com/r/Ih0T8c/2,,,,,,,,,,
49516025,Nick Bull,nhahtdh,"Without `\p{M}`, combining marks will be removed from the text and may leave the text hard to read or outright non-sense in languages which use accent.",['\\p{M}'],11,1,11,,,,,,
49516025,Nick Bull,Sean Van Gorder,"I suggest `""[^\\p{L}\\p{M}\\p{N}\\p{P}\\p{Z}\\p{Cf}\\s]""`. This allows the general categories Letter, Mark, Number, Punctuation, Separator, and ""Other, Format"", as well as whitespace characters such as tab and newline.","['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\s]""']",11,1,11,"[(11, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\s]""'])]","[(11, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\s]""'])]","[(11, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\s]""'])]","[(11, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\s]""'])]",,
49516025,Nick Bull,Nick Bull,"@SeanVanGorder I've accepted your proposal, minus the `\\s` as `\\p{Z}` represents all whitespace and separator characters already.","['\\\\p{Z}', '\\\\s']",,,,,,,,,
49516025,Nick Bull,Sean Van Gorder,"@NickBull No, control characters like tab and newline are in the category ""Cc - Other, Control"". There's no single category for whitespace.",,12,0,,,,,,,
49516025,Nick Bull,Sean Van Gorder,"@NickBull One more addition, `\\p{Cs}` ""Other, Surrogate"" seems to be necessary for code points above `U+FFFF`. That would make it `""[^\\p{L}\\p{M}\\p{N}\\p{P}\\p{Z}\\p{Cf}\\p{Cs}\\s]""`.","['\\\\p{Cs}', 'U+FFFF', '""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\p{Cs}\\\\s]""']",12,1,12,"[(12, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\p{Cs}\\\\s]""'])]","[(12, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\p{Cs}\\\\s]""'])]","[(12, ['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\p{Cs}\\\\s]""'])]",,,
49516025,Nick Bull,Nick Bull,"@SeanVanGorder great stuff, added.",,,,,,,,,,
49516025,Nick Bull,Mike Sickler,"To preserve all the punctuation and currency symbols, too, I use: `""[^\\p{L}\\p{M}\\p{N}\\p{P}\\p{Z}\\p{Cf}\\p{Cs}\\p{Sc}\\p{Punct}\\s]""`","['""[^\\\\p{L}\\\\p{M}\\\\p{N}\\\\p{P}\\\\p{Z}\\\\p{Cf}\\\\p{Cs}\\\\p{Sc}\\\\p{Punct}\\\\s]""']",,,,,,,,,
49516025,Nick Bull,Nick Bull,@MikeSickler Is there a difference between `p{P}` and `p{Punct}`? I couldn't find any good explanations on Google (but I didn't try very hard either :p),"['p{Punct}', 'p{P}']",,,,,,,,,
49878150,Popmedic,user9512753,ah this works thankyou any idea how to have it so that the button shows says bid instead of displaying the value?,,2,0,,,,,,,
49878150,Popmedic,Popmedic,"You are using the input type submit, if you want to pass a variable in the button, use a button, not the imput type submit https://www.w3schools.com/tags/att_button_value.asp, this will also allow you to name the button that way...",,,,,,,,,,
49878150,Popmedic,user9512753,"ah ok i see, is it also possible if i add a text field next to the button that the user could enter a bid and also have that pass through into bid.php aswell as the jobid?",,4,0,,,,,,,
49878150,Popmedic,Popmedic,edited for that.,,,,,,,,,,
49878150,Popmedic,user9512753,Thnakyou very helpful,,,,,,,,,,
50130390,Eugene,Holger,"`distinct()` still buffers the entire contents. But it doesn’t need to hold back the encountered values but can pass them directly to the consumer if not encountered before. That’s why you see values printed, but eventually, it will either, fail due to limited storage or enter an infinite loop without visible effect, once every value has been encountered. In the current implementation, it will always be the former, as 2³² `int` values do not fit into a conventional collection. But `IntStream.generate(() -> r.nextInt(1000000000)) .distinct() .forEach(System.out::println);` will hang eventually…","['int', 'IntStream', 'distinct()` still buffers the entire contents. But it doesn’t need to hold back the encountered values but can pass them directly to the consumer if not encountered before. That’s why you see values printed, but eventually, it will either, fail due to limited storage or enter an infinite loop without visible effect, once every value has been encountered. In the current implementation, it will always be the former, as 2³² `int` values do not fit into a conventional collection. But `IntStream.generate(() -> r.nextInt(1000000000)) .distinct() .forEach(System.out::println)', 'IntStream.generate(() -> r.nextInt(1000000000)) .distinct() .forEach(System.out::println);', 'distinct()', 'forEach', 'nextInt']",2,1,2,"[(3, ['nextInt', 'distinct()', 'forEach', 'IntStream'])]","[(3, ['IntStream', 'distinct()', 'forEach', 'nextInt'])]","[(3, ['forEach', 'distinct()', 'nextInt', 'IntStream'])]","[(3, ['forEach', 'nextInt', 'distinct()', 'IntStream'])]","[(3, ['nextInt', 'distinct()', 'IntStream', 'forEach'])]","[(3, ['IntStream', 'nextInt', 'forEach', 'distinct()'])]"
50130390,Eugene,Eugene,"@Holger yes, very bad wording on my part about `distinct`. It can also be much easier with `() -> new Random().nextInt(2)`, it would still hang","['Random().nextInt(2)', '() -> new Random().nextInt(2)', 'nextInt', 'distinct']",,,,,,,,,
50130390,Eugene,Holger,"Of course, the smaller the value set, the sooner it will hang without doing something useful. I just wanted to emphasize the difference between less than 2³¹ values (like my `1000000000` example) and more than 2³¹ values, as that’s the implementation specific limitation, as `distinct()` uses a backend collection which can not store more than 2³¹ values.","['distinct()', '1000000000']",,,,,,,,,
50817638,devserkan,Zeljko Marinkovic,"Well, yes and no. I am feeding reducer with an array for `sesion` and `tripType` when manually selecting filters from dropdown, but i have problem when i want to spread array for `season` or `tripType` from url. So maybe i need some sort of detection method which will detect if i'm trying to update an array from filter or from url, in which case your solution will work. Now its splitting filter into chars i.e. console.log(newFilter) -> ['s','h','o','r','t','_','t','r','i','p'].

I need indexOf so i can know onto which dropdown item to toggle select","['console.log(newFilter)', 'indexOf', ""'o'"", 'newFilter', ""'s'"", ""'t'"", 'season', 'tripType', ""'_'"", ""'h'"", ""'i'"", ""'p'"", ""'r'"", 'log(newFilter)', 'sesion']",3,1,3,"[(3, ['console.log(newFilter)', 'log(newFilter)', 'newFilter'])]","[(3, ['newFilter', 'log(newFilter)'])]","[(3, ['newFilter'])]","[(3, ['newFilter'])]",,
50817638,devserkan,devserkan,"In this case you need to find a logic to update your state for each case or should use different actions maybe. But, from url you are splitting the parameters and this creates an array. Am I wrong?",,,,,,,,,,
50817638,devserkan,Zeljko Marinkovic,"Not sure about actions, because than I would need another action/action creator with same props(value, key) just to spread url params into array, don't know :/ Correct, I'm making an array from url params","['props(value, key)']",3,0,,"[(3, ['props(value, key)'])]",,,,,
50817638,devserkan,devserkan,"In your first comment you said you have a problem spreading for `season` and `tripType` from url. If you are passing an array from url to your reducer my code should work. Where do you feed the reducer as a string? How do you get the last result you gave in your last comment? Actually a simple isArray check works here. But, i want to understand clearly that you are getting two different values here: array and string.","['season', 'isArray', 'tripType']",,,,,,,,,
50817638,devserkan,devserkan,I've edited my answer. It should work as your value is either an array or a string.,,,,,,,,,,
50817638,devserkan,Zeljko Marinkovic,"Yes, but i have two options, to spreading from url and by clicking on options in filter. But your solution get me going in right direction and finally get it to work. Thank you so much",,,,,,,,,,
51211968,justengel,hpaulj,"list append is nearly as good as a list comprension. `np.append` is a `concatenate`, and slow if done in a loop.","['np.append', 'concatenate']",3,1,3,"[(3, ['np.append'])]","[(3, ['np.append'])]",,,,
51211968,justengel,justengel,"A normal python list append in a for loop is very slow, especially for large lists. List comprehensions are incredibly fast compared to a for loop list append. That's all I was trying to get at. I was not referring to np.append.",,,,,,,,,,
51211968,justengel,juanpa.arrivillaga,@justengel none-sense. List comprehensions are *marginally* faster than a for-loop with append. You can get them to be essentially the same speed by doing `append_to_list = mylist.append` and then using the bound method in the loop. It's a microoptimization at best,"['append_to_list = mylist', 'append_to_list = mylist.append']",3,1,3,"[(4, ['append_to_list = mylist.append', 'append_to_list = mylist'])]","[(4, ['append_to_list = mylist'])]",,,,
51211968,justengel,Raven Cheuk,@juanpa.arrivillaga Does it mean that my code doesn't have a huge impact in performance? Since another answer mentions that mixing list and array is rare. So I am now very confused if my code is acceptable.,,,,,,,,,,
51211968,justengel,justengel,@juanpa.arrivillaga See my updated answer. In practice list comprehensions are much faster for large lists.,,,,,,,,,,
